Coating Distributions. From moderator towards sample:
m_horizontal , m_vertical , elementlength:
NBOA:
3.000000 , 3.500000 , 0.488444
3.000000 , 3.500000 , 0.488444
2.500000 , 3.000000 , 0.488444
2.500000 , 3.000000 , 0.488444
2.500000 , 2.500000 , 0.488444
2.000000 , 2.500000 , 0.488444
1.500000 , 2.500000 , 0.488444
1.500000 , 2.500000 , 0.061219
0.000000 , 0.000000 , 0.023490
1.500000 , 2.000000 , 0.403736
1.500000 , 2.000000 , 0.076264
0.000000 , 0.000000 , 0.015000
1.500000 , 2.000000 , 0.396710

Curved section:
(3.000000,3.500000) , 2.500000 , 18.000000

Expanding ellipse:
2.500000 , 2.000000 , 0.500000
2.500000 , 2.000000 , 0.500000
2.500000 , 2.000000 , 0.500000
2.500000 , 2.000000 , 0.500000
2.500000 , 2.000000 , 0.500000
2.500000 , 2.000000 , 0.500000
2.500000 , 2.000000 , 0.500000
0.000000 , 0.000000 , 0.020000
2.000000 , 2.000000 , 0.480000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
2.000000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.428800

Long Straight Section
1.500000 , 1.000000 , 90.000000

Focusing Ellipse
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 1.500000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
1.500000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
2.000000 , 2.000000 , 0.500000
0.000000 , 0.000000 , 0.015800
2.000000 , 2.000000 , 0.484200
2.500000 , 2.000000 , 0.500000
2.500000 , 2.500000 , 0.500000
2.500000 , 2.500000 , 0.143200
2 cm gap for divJaw 3
2.500000 , 2.500000 , 0.316800
3.000000 , 3.000000 , 0.500000
3.000000 , 3.000000 , 0.463200
2 cm gap for divJaw 2
3.000000 , 3.000000 , 0.059600
3.000000 , 3.500000 , 0.500000
2 cm gap for divJaw 1 
3.000000 , 3.500000 , 0.066700
3.500000 , 3.500000 , 0.500000
3.500000 , 3.500000 , 0.004700
